name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'unknown';0.000000;3.459348e+01;1.359464e-01;3.336870e+01;3.467302e+01;3.692183e+01;3.553123e+00;6.202823e+02;9.895842e+02;1.042393e+02;6.652029e+01;5.156019e-01;7.120419e-01;2.322157e-01;3.765866e-01;7.455221e-01;5.133064e-01;5.205608e+00;4.643701e+00;4.359801e+00;1.615229e+00;2.568027e-01;5.336748e-01;2.237881e+01;4.886857e-01;7.837681e+00;1.848802e+00;3.552263e+00;2.530201e+00;2.173383e+00;5.797600e+00;3.541839e-02;2.323184e+00;1.127239e+00;9.412134e-01;7.178118e+00;4.415363e-01;1.887784e+00;3.627381e+00;1.997695e+01;5.240942e-01;6.600917e+02;2.130425e-01;1.457155e+03;1.338032e-01;-1.193051e+02;-7.759929e-01;1.624581e+03;1.080132e-01;1.168510e+03;2.137830e-01;-1.209619e+02;-7.273052e-01;2.596811e+03;8.970985e-02;1.112723e+03;3.284369e-01;-1.245800e+02;-6.748161e-01;-1.377098e+01;-5.149342e-01;2.509996e+01;3.521878e-01;-1.446809e-02;-1.190008e+00;-1.885875e-02;-6.730017e-01;3.302628e-01;4.860617e-01;3.150414e+01;2.249648e-01;-1.521877e+00;-1.068472e+01;1.890274e+00;5.552422e+00;-6.366016e+00;-1.574516e+00;-1.713775e+01;2.859772e+01;-4.681257e-02;-1.787854e-03;2.032272e-01;2.250000e+00;2.278481e+00;1.811111e-01;1.096909e-01;2.355555e-01;2.042934e-01;-2.620271e+01
'unknown';0.000000;3.593474e+01;1.163560e-01;3.361944e+01;3.586750e+01;3.902906e+01;5.409615e+00;6.486745e+01;3.471220e+01;6.319146e+00;1.734559e+01;4.840304e-01;6.742209e-01;1.960995e-01;3.925943e-01;6.969987e-01;5.008992e-01;6.620129e+00;6.023840e+00;3.855425e+00;2.253053e+00;2.141661e-01;6.939179e-01;2.161419e+01;6.290996e-01;1.494968e+01;9.806473e-01;1.740925e+00;7.061950e+00;3.448825e+00;4.201658e+00;2.582001e-02;1.933893e+00;1.039354e+00;1.021351e+00;9.432600e+00;3.475382e-01;4.387292e+00;2.080349e+00;2.298857e+01;3.669816e-01;6.896232e+02;1.748880e-01;1.397665e+03;1.175713e-01;-1.253315e+02;-7.237841e-01;1.689441e+03;1.070788e-01;1.096990e+03;2.660553e-01;-1.283878e+02;-6.562329e-01;2.658156e+03;8.832690e-02;1.014899e+03;4.564018e-01;-1.311770e+02;-6.188424e-01;-1.885678e+01;-4.472356e-01;2.895263e+01;3.497008e-01;-9.697398e-03;-1.667105e+00;-2.437117e-02;-4.687804e-01;3.181995e-01;5.340506e-01;3.247021e+01;2.057390e-01;7.291595e+00;2.035395e+00;4.918899e+00;2.765449e+00;-6.357761e+00;-1.752427e+00;-1.731518e+01;2.723856e+01;-4.522408e-02;-3.310973e-03;1.453898e-01;2.433628e+00;1.789709e+00;2.200000e-01;1.435270e-01;2.822222e-01;2.876254e-01;-2.540460e+01
'unknown';0.000000;3.377479e+01;1.498673e-01;3.157010e+01;3.464181e+01;3.724010e+01;5.669998e+00;5.330029e+01;4.866103e+01;2.433250e+01;1.428704e+01;5.339810e-01;7.059714e-01;2.302984e-01;4.143459e-01;7.573190e-01;5.270207e-01;5.793901e+00;2.958173e+00;3.401172e+00;2.036463e+00;2.566223e-01;6.356037e-01;2.766401e+01;4.844749e-01;1.307021e+01;1.205878e+00;7.496707e-01;1.489149e+01;4.458757e+00;2.911098e+00;2.114061e-02;2.031671e+00;9.105645e-01;1.088082e+00;9.094119e+00;3.600439e-01;6.389157e-01;1.199764e+01;2.398982e+01;4.242164e-01;7.100172e+02;1.581147e-01;1.436737e+03;1.154309e-01;-9.283479e+01;-9.865279e-01;1.694084e+03;9.265114e-02;1.076312e+03;2.125539e-01;-9.874387e+01;-8.631784e-01;2.711591e+03;7.763326e-02;9.364095e+02;4.691530e-01;-1.039184e+02;-7.805498e-01;-1.866249e+01;-4.703559e-01;2.970778e+01;3.254983e-01;-6.562426e-03;-3.504332e+00;-2.293553e-02;-5.902275e-01;3.055594e-01;5.935153e-01;3.514725e+01;2.404851e-01;7.028227e+00;2.160707e+00;1.310924e+00;8.727712e+00;-2.476993e-01;-4.387341e+01;-1.793459e+01;2.798649e+01;-3.072491e-02;-6.886964e-03;1.991250e-01;2;2.278481e+00;2.411111e-01;1.981270e-01;1.590000e-01;8.419620e-02;-2.382808e+01
'unknown';0.000000;3.496617e+01;1.294455e-01;3.245677e+01;3.520814e+01;3.962918e+01;7.172413e+00;2.068784e+01;1.265672e+01;1.681479e+01;2.158803e+00;6.186488e-01;6.214927e-01;2.777352e-01;5.454712e-01;9.236993e-01;6.459641e-01;6.357864e+00;6.451392e+00;4.466038e+00;1.832912e+00;2.764458e-01;6.748876e-01;2.809953e+01;4.333856e-01;7.029006e+00;1.926931e+00;5.571772e+00;2.089832e+00;-2.183069e+00;-7.644849e+00;1.543500e-02;1.356869e+00;8.796146e-01;1.043038e+00;9.694828e+00;3.638422e-01;3.141185e+00;2.385177e+00;2.216914e+01;3.954934e-01;7.290795e+02;1.367468e-01;1.358377e+03;1.468297e-01;-9.324966e+01;-9.699417e-01;1.721202e+03;1.015265e-01;1.049907e+03;3.025729e-01;-9.864995e+01;-8.537189e-01;2.672842e+03;8.458558e-02;1.022565e+03;4.101080e-01;-1.021719e+02;-7.974666e-01;-1.776371e+01;-4.308106e-01;2.807408e+01;3.152901e-01;-5.273095e-03;-3.251816e+00;-2.580291e-02;-5.948419e-01;3.238182e-01;6.318740e-01;3.418289e+01;2.472328e-01;3.295982e+00;3.791915e+00;7.007505e+00;1.812355e+00;-9.815642e+00;-1.577174e+00;-1.560384e+01;2.681803e+01;-2.774117e-02;-6.287826e-03;2.187064e-01;2.752294e+00;2.484472e+00;2.212500e-01;1.525973e-01;1.587500e-01;1.008015e-01;-2.328151e+01
'unknown';0.000000;3.597212e+01;7.173529e-02;3.397474e+01;3.543679e+01;3.761488e+01;3.640137e+00;1.483401e+01;1.740715e+01;1.550591e+01;2.832420e+00;5.521082e-01;6.945416e-01;2.022247e-01;4.378135e-01;8.500229e-01;6.477982e-01;7.078223e+00;5.637730e+00;4.309941e+00;2.618951e+00;2.235182e-01;7.268227e-01;2.513965e+01;5.533774e-01;4.929576e+00;3.117780e+00;3.314237e+00;3.349740e+00;6.424935e+00;2.484694e+00;1.786198e-02;1.151014e+00;9.404978e-01;8.647963e-01;9.124341e+00;2.740591e-01;4.321557e+00;1.657820e+00;2.167809e+01;5.109619e-01;6.437172e+02;2.210181e-01;1.486050e+03;1.163831e-01;-1.162959e+02;-8.042604e-01;1.591047e+03;1.050128e-01;1.152504e+03;1.866354e-01;-1.141497e+02;-7.855220e-01;2.544822e+03;7.718840e-02;1.161561e+03;2.672083e-01;-1.191014e+02;-7.115045e-01;-1.324392e+01;-5.700832e-01;2.583698e+01;3.752992e-01;-8.332985e-03;-2.504863e+00;-1.489473e-02;-9.849402e-01;3.165780e-01;5.627384e-01;3.484630e+01;2.324685e-01;-4.387863e+00;-3.027876e+00;2.970212e+00;3.771219e+00;-3.163386e+00;-3.889007e+00;-1.639149e+01;2.780178e+01;-4.202999e-02;2.943394e-03;1.472022e-01;2.179177e+00;1.715686e+00;2.642857e-01;9.752028e-02;2.600000e-01;1.504992e-01;-2.460839e+01
'unknown';0.000000;2.935817e+01;1.083037e-01;2.678146e+01;2.917149e+01;3.256821e+01;5.786757e+00;6.823129e+01;6.945901e+01;2.732545e+01;1.745252e+01;5.331181e-01;6.907433e-01;1.755418e-01;4.838132e-01;8.040745e-01;6.285328e-01;5.751872e+00;5.034416e+00;5.225790e+00;3.508340e+00;2.949896e-01;9.548438e-01;2.205221e+01;7.602126e-01;2.540655e+01;3.664595e-01;-2.919194e+00;-4.000802e+00;-2.456621e-01;-4.025244e+01;3.246796e-02;1.592171e+00;1.021863e+00;8.886576e-01;7.513670e+00;3.416736e-01;5.081223e+00;1.587040e+00;3.638705e+01;2.002429e-01;5.679999e+02;2.775869e-01;1.534683e+03;1.346806e-01;-1.174389e+02;-7.755390e-01;1.496548e+03;1.861204e-01;1.202182e+03;2.281024e-01;-1.239547e+02;-6.680887e-01;2.529799e+03;1.123598e-01;1.034071e+03;2.872059e-01;-1.295467e+02;-5.919526e-01;-2.317840e+01;-2.883997e-01;3.459440e+01;2.302482e-01;-9.136089e-04;-2.447306e+01;-3.283507e-02;-3.577204e-01;4.698541e-01;5.825675e-01;3.518131e+01;3.212278e-01;2.825199e+01;2.284105e-01;-1.847315e+00;-6.256725e+00;-3.293652e+00;-3.528274e+00;-1.548448e+01;2.570583e+01;-2.406665e-02;-4.072030e-03;1.567583e-01;2.310925e+00;1.698514e+00;2.550000e-01;1.013657e-01;2.777778e-01;2.288997e-01;-2.073716e+01
'unknown';0.000000;3.007525e+01;1.128994e-01;2.712880e+01;3.007837e+01;3.192049e+01;4.791687e+00;2.760661e+01;1.184754e+01;1.976364e+01;7.344833e+00;5.851282e-01;7.254786e-01;2.198181e-01;4.627539e-01;9.219099e-01;7.020918e-01;8.477454e+00;9.737885e+00;5.001411e+00;2.710748e+00;2.817103e-01;9.902481e-01;2.278065e+01;7.566975e-01;2.090313e+01;4.946645e-01;-6.107163e+00;-2.444004e+00;7.248818e+00;1.610485e+00;1.697549e-02;1.057884e+00;9.723944e-01;8.738911e-01;7.983530e+00;3.635047e-01;2.711078e+00;3.270071e+00;2.910325e+01;2.001940e-01;5.694630e+02;2.735666e-01;1.478775e+03;1.142527e-01;-1.098446e+02;-8.335922e-01;1.511973e+03;1.809426e-01;1.169327e+03;2.132919e-01;-1.135513e+02;-7.507067e-01;2.475313e+03;8.922771e-02;9.160370e+02;2.847634e-01;-1.183678e+02;-6.783909e-01;-2.039373e+01;-3.789801e-01;3.218195e+01;1.906556e-01;9.604106e-03;2.081607e+00;-2.715909e-02;-4.462635e-01;4.513485e-01;6.715314e-01;3.534166e+01;2.785358e-01;2.323719e+01;3.743769e-01;-4.188169e+00;-3.665067e+00;2.309638e+00;5.243313e+00;-1.263554e+01;2.361187e+01;-1.795676e-02;1.605569e-03;1.188770e-01;2.752294e+00;1.856148e+00;2.587500e-01;1.475159e-01;2.300000e-01;2.010528e-01;-2.058531e+01
'unknown';0.000000;3.002178e+01;1.254604e-01;2.783786e+01;2.991060e+01;3.118305e+01;3.345196e+00;3.872125e+01;3.751852e+01;2.018146e+01;5.949845e+00;6.616343e-01;6.453322e-01;2.449709e-01;5.817721e-01;9.701208e-01;7.251499e-01;6.610604e+00;6.599680e+00;6.293674e+00;3.604860e+00;3.424817e-01;8.800957e-01;2.465797e+01;6.819246e-01;2.075922e+01;4.170277e-01;1.988884e+00;7.672144e+00;9.278163e+00;1.202814e+00;2.548325e-02;1.437512e+00;9.887261e-01;1.077595e+00;8.207137e+00;3.468794e-01;4.944852e+00;1.598197e+00;3.245594e+01;2.840400e-01;5.726671e+02;2.666503e-01;1.404333e+03;1.214655e-01;-1.011245e+02;-9.185885e-01;1.544878e+03;1.885434e-01;1.094957e+03;2.998155e-01;-1.070163e+02;-7.991667e-01;2.519913e+03;9.810247e-02;8.829772e+02;3.397045e-01;-1.121313e+02;-7.194082e-01;-2.208606e+01;-3.104767e-01;3.148090e+01;2.417361e-01;1.245109e-03;1.815506e+01;-3.051820e-02;-4.346531e-01;4.993402e-01;6.516459e-01;3.557536e+01;2.773516e-01;2.255581e+01;3.956050e-01;3.062804e+00;5.610693e+00;5.404321e+00;2.015361e+00;-1.632445e+01;2.697146e+01;-3.862256e-02;-3.045020e-04;1.717206e-01;2.771363e+00;1.635514e+00;3.171428e-01;1.098979e-01;2.387500e-01;1.674393e-01;-1.877731e+01
'unknown';0.000000;2.938927e+01;1.027692e-01;2.742721e+01;2.969238e+01;3.145646e+01;4.029251e+00;2.475537e+01;1.215590e+01;9.968679e+01;1.156741e+02;6.288363e-01;7.095833e-01;1.777036e-01;6.070423e-01;1.006230e+00;8.285265e-01;9.348831e+00;1.022670e+01;6.750373e+00;3.813254e+00;3.248464e-01;9.544963e-01;2.574393e+01;6.136042e-01;2.136334e+01;4.887873e-01;-3.023392e+00;-4.506032e+00;1.059308e+01;9.427769e-01;3.890048e-02;2.895728e+00;1.068691e+00;1.048616e+00;8.011588e+00;3.688453e-01;4.871239e+00;1.748875e+00;3.388280e+01;1.931856e-01;5.413482e+02;2.782940e-01;1.446762e+03;1.333323e-01;-1.036786e+02;-9.138920e-01;1.488792e+03;1.764032e-01;1.173385e+03;2.837768e-01;-1.123038e+02;-7.690920e-01;2.484853e+03;8.483493e-02;9.393157e+02;3.266099e-01;-1.170075e+02;-6.973957e-01;-2.214533e+01;-2.854117e-01;3.324449e+01;1.784859e-01;7.843411e-03;2.940449e+00;-2.945872e-02;-4.442396e-01;5.292320e-01;6.115157e-01;3.611390e+01;2.940378e-01;2.554171e+01;3.626466e-01;-1.816183e+00;-8.633630e+00;5.563286e+00;1.574306e+00;-1.596010e+01;2.809961e+01;-3.609933e-02;1.303936e-03;1.269941e-01;2.616279e+00;1.179941e+00;4.175000e-01;2.072890e-01;3.260000e-01;3.007723e-01;-1.907566e+01
'unknown';0.000000;3.005089e+01;9.426954e-02;2.826037e+01;3.010542e+01;3.243936e+01;4.178986e+00;2.638785e+01;1.103237e+01;1.745829e+01;4.160305e+00;6.206493e-01;7.366496e-01;2.259131e-01;5.387506e-01;8.807561e-01;6.548430e-01;1.110280e+01;1.025303e+01;3.365348e+00;2.084897e+00;4.039904e-01;7.729326e-01;2.379119e+01;7.662253e-01;2.458320e+01;4.240560e-01;8.607630e-01;1.741187e+01;1.249552e+01;1.044860e+00;2.545059e-02;1.116662e+00;1.046811e+00;8.608783e-01;8.378817e+00;2.853054e-01;3.528388e+00;2.486322e+00;3.376021e+01;2.337910e-01;6.172226e+02;2.508804e-01;1.453378e+03;1.542180e-01;-1.046287e+02;-8.642367e-01;1.607397e+03;1.852537e-01;1.170637e+03;3.158379e-01;-1.123538e+02;-7.335907e-01;2.584991e+03;1.206215e-01;9.324846e+02;3.087040e-01;-1.168408e+02;-6.681513e-01;-2.475995e+01;-2.769550e-01;3.462376e+01;1.752144e-01;-8.001079e-04;-3.056402e+01;-3.288550e-02;-4.264182e-01;5.586880e-01;6.301975e-01;3.701741e+01;3.001164e-01;2.635528e+01;4.205450e-01;1.317279e+00;1.185437e+01;3.910067e+00;2.482988e+00;-1.908276e+01;2.902315e+01;-4.706182e-02;6.624046e-04;2.465595e-01;2.604167e+00;1.856764e+00;2.714286e-01;1.034309e-01;2.150000e-01;1.782554e-01;-1.844912e+01
'unknown';0.000000;2.495597e+01;1.494457e-01;2.219558e+01;2.556021e+01;2.797537e+01;5.779793e+00;4.559819e+02;5.634475e+02;7.499971e+01;3.537453e+01;4.788576e-01;9.346571e-01;1.573208e-01;2.600448e-01;7.840027e-01;6.266818e-01;8.920800e+00;6.379789e+00;5.671547e+00;3.728005e+00;2.644214e-01;1.083785e+00;2.610936e+01;5.366712e-01;1.023820e+01;1.001904e+00;1.438492e+00;6.539599e+00;9.569142e+00;1.032792e+00;5.001102e-02;1.856678e+00;1.085196e+00;9.557865e-01;5.100235e+00;5.683423e-01;4.563389e+00;1.168124e+00;3.023166e+01;3.690079e-01;4.745989e+02;2.563720e-01;1.466375e+03;8.146897e-02;-1.429945e+02;-6.043938e-01;1.383237e+03;1.179724e-01;1.142815e+03;1.221161e-01;-1.462547e+02;-5.544052e-01;2.382246e+03;6.711211e-02;9.531211e+02;1.998553e-01;-1.500204e+02;-5.025390e-01;-1.829225e+01;-4.280354e-01;3.288899e+01;2.274456e-01;-6.529045e-03;-3.609219e+00;-2.048093e-02;-7.711717e-01;5.524966e-01;5.550345e-01;4.265194e+01;2.083078e-01;8.007987e+00;1.892473e+00;4.067235e+00;2.940793e+00;7.490623e+00;1.949634e+00;-1.654541e+01;2.908011e+01;-4.455105e-02;9.351122e-04;1.420604e-01;2.525253e+00;1.358234e+00;2.125000e-01;1.632291e-01;4.466667e-01;4.586938e-01;-2.188981e+01
'unknown';0.000000;2.563765e+01;1.200242e-01;2.350578e+01;2.613352e+01;2.786381e+01;4.358027e+00;5.135203e+01;3.952715e+01;6.998824e+01;1.024373e+02;5.494516e-01;9.780999e-01;1.548927e-01;2.668439e-01;1.009578e+00;8.546854e-01;1.016836e+01;7.600167e+00;7.583186e+00;4.298231e+00;3.439787e-01;9.588950e-01;2.575566e+01;5.373704e-01;1.064183e+01;1.110329e+00;5.059389e+00;2.221365e+00;1.259827e+01;8.164480e-01;2.729549e-02;1.203133e+00;1.183467e+00;9.128675e-01;5.660175e+00;4.227458e-01;2.095907e+00;2.845229e+00;2.479665e+01;3.506319e-01;4.555237e+02;3.007222e-01;1.429518e+03;1.167294e-01;-1.313463e+02;-6.884421e-01;1.377709e+03;1.112598e-01;1.109411e+03;2.138131e-01;-1.352159e+02;-6.284202e-01;2.344785e+03;6.868614e-02;8.774693e+02;2.816104e-01;-1.387300e+02;-5.794109e-01;-1.651238e+01;-3.991432e-01;2.761313e+01;2.549967e-01;-4.659965e-03;-4.890418e+00;-1.792919e-02;-6.170416e-01;6.263215e-01;5.562218e-01;3.975085e+01;2.434858e-01;5.796577e+00;2.766171e+00;5.657133e+00;2.426034e+00;1.575126e+01;8.460718e-01;-1.805457e+01;2.935818e+01;-4.697099e-02;-1.610883e-03;1.911623e-01;2.662230e+00;1.845638e+00;1.854545e-01;1.358718e-01;3.363636e-01;4.271953e-01;-2.031938e+01
'unknown';0.000000;2.540757e+01;1.627977e-01;2.156149e+01;2.661173e+01;2.858990e+01;7.028408e+00;4.040505e+01;4.127988e+01;3.301281e+01;1.484040e+01;6.024758e-01;8.818553e-01;1.644688e-01;4.029856e-01;9.994246e-01;8.349558e-01;7.999241e+00;3.760731e+00;6.221520e+00;3.956845e+00;3.451183e-01;8.262165e-01;2.736766e+01;5.794227e-01;9.369293e+00;1.313672e+00;8.351389e+00;1.032636e+00;6.545777e+00;1.482858e+00;1.969817e-02;9.140280e-01;1.068281e+00;7.402964e-01;6.040849e+00;4.889341e-01;3.031932e+00;6.728296e+00;2.383533e+01;5.128149e-01;4.621623e+02;2.282053e-01;1.450892e+03;1.037884e-01;-1.257984e+02;-7.305046e-01;1.387393e+03;1.000739e-01;1.109656e+03;1.376241e-01;-1.298913e+02;-6.678249e-01;2.373456e+03;6.680898e-02;9.113101e+02;2.367791e-01;-1.340340e+02;-6.083546e-01;-1.705830e+01;-4.424739e-01;2.943914e+01;2.938075e-01;-1.058601e-02;-2.444974e+00;-1.859458e-02;-6.994123e-01;5.663238e-01;5.189600e-01;4.122978e+01;2.725235e-01;2.702030e+00;5.887122e+00;8.907613e+00;1.314524e+00;7.159579e+00;1.852718e+00;-1.860131e+01;2.973081e+01;-4.918486e-02;-1.205952e-03;2.074122e-01;2.107280e+00;1.547389e+00;2.425000e-01;1.517193e-01;3.400000e-01;2.885211e-01;-1.998591e+01
'unknown';0.000000;2.371479e+01;1.106161e-01;2.234694e+01;2.365909e+01;2.507618e+01;2.729240e+00;2.458716e+02;4.305498e+02;5.712694e+01;6.161931e+01;4.950921e-01;9.262246e-01;1.688419e-01;3.108217e-01;7.420765e-01;5.732346e-01;7.732047e+00;5.712974e+00;5.290371e+00;3.556497e+00;3.152469e-01;6.060253e-01;2.942765e+01;4.788809e-01;1.389357e+01;7.624843e-01;6.726686e+00;1.925241e+00;5.864851e+00;1.907143e+00;2.648824e-02;9.718494e-01;1.319008e+00;8.415439e-01;4.812525e+00;4.112963e-01;3.578644e+00;1.627451e+00;3.080241e+01;2.717033e-01;4.672646e+02;2.356962e-01;1.395467e+03;8.924537e-02;-1.168542e+02;-7.841941e-01;1.391845e+03;1.231117e-01;1.215771e+03;3.251719e-01;-1.232257e+02;-6.900771e-01;2.323358e+03;8.488224e-02;9.296900e+02;2.386919e-01;-1.284842e+02;-6.150168e-01;-2.067104e+01;-3.984150e-01;3.389611e+01;2.309881e-01;-1.871427e-02;-1.555462e+00;-1.995162e-02;-5.569079e-01;4.422834e-01;4.671713e-01;4.164437e+01;1.889660e-01;1.119041e+01;1.233156e+00;8.461475e+00;1.593331e+00;2.063337e+00;6.884425e+00;-2.020577e+01;3.212772e+01;-5.274466e-02;-1.572004e-03;2.202498e-01;2.694611e+00;2.431611e+00;1.700000e-01;1.212436e-01;1.955556e-01;1.153845e-01;-2.196296e+01
'unknown';0.000000;2.475990e+01;1.369185e-01;2.262294e+01;2.466248e+01;2.676951e+01;4.146563e+00;8.970319e+01;1.167131e+02;5.609918e+01;5.019892e+01;4.894009e-01;1.012805e+00;1.378939e-01;2.276864e-01;8.610207e-01;7.231268e-01;8.428808e+00;5.149224e+00;6.106966e+00;3.961604e+00;3.135022e-01;7.118573e-01;2.892166e+01;4.500505e-01;1.272042e+01;7.914173e-01;8.629861e+00;9.836782e-01;9.782288e-02;1.190120e+02;3.772868e-02;1.941976e+00;1.098457e+00;8.669046e-01;5.789315e+00;4.021018e-01;5.494165e+00;1.068602e+00;3.061721e+01;2.516452e-01;4.455148e+02;2.517838e-01;1.416453e+03;1.134582e-01;-1.332650e+02;-6.788912e-01;1.356387e+03;1.086694e-01;1.108310e+03;1.742802e-01;-1.373044e+02;-6.119664e-01;2.374643e+03;7.583908e-02;9.062449e+02;2.648613e-01;-1.417070e+02;-5.518813e-01;-1.976663e+01;-3.546320e-01;3.257590e+01;2.369782e-01;-1.147064e-02;-2.285336e+00;-2.328553e-02;-5.877666e-01;5.035943e-01;4.328993e-01;4.241441e+01;1.695972e-01;7.546644e+00;1.842747e+00;1.399552e+01;8.207958e-01;-2.826320e+00;-5.283381e+00;-2.006166e+01;3.250504e+01;-5.002575e-02;-1.948250e-03;2.137627e-01;1.747573e+00;1.372549e+00;2.485714e-01;1.738167e-01;4.600000e-01;4.383736e-01;-2.085556e+01
'unknown';0.000000;2.801364e+01;6.936733e-02;2.701743e+01;2.831633e+01;2.928945e+01;2.272017e+00;1.986919e+01;1.232649e+01;2.565741e+01;1.043365e+01;9.402774e-01;7.967466e-01;3.055643e-01;7.022476e-01;1.606567e+00;1.301003e+00;1.240768e+01;6.367682e+00;1.382691e+01;6.399744e+00;6.306606e-01;1.023669e+00;2.524075e+01;6.842099e-01;1.040645e+00;1.711360e+01;1.519748e+01;9.387242e-01;6.867116e-01;1.769578e+01;3.243003e-02;7.772397e-01;1.885628e+00;7.440084e-01;4.902564e+00;4.657023e-01;5.713950e+00;1.443328e+00;2.031386e+01;4.411539e-01;4.831644e+02;3.540094e-01;1.353573e+03;9.969230e-02;-1.043104e+02;-8.822374e-01;1.486927e+03;1.513705e-01;1.085456e+03;3.146563e-01;-1.069544e+02;-8.144695e-01;2.426283e+03;7.468387e-02;8.921210e+02;2.279158e-01;-1.089803e+02;-7.810834e-01;-1.284214e+01;-4.709764e-01;2.014222e+01;2.730440e-01;2.648951e-03;9.517879e+00;-1.902186e-02;-7.571333e-01;8.317689e-01;8.320622e-01;3.337959e+01;2.834112e-01;-5.165182e+00;-3.414780e+00;1.775644e+01;8.473710e-01;1.210375e+00;1.167408e+01;-1.296878e+01;2.316162e+01;-2.641703e-02;-5.308632e-03;4.560600e-01;4.219409e+00;3.879310e+00;1.200000e-01;6.463573e-02;1.155555e-01;5.946261e-02;-1.773343e+01
